文件,ID,最小角度(°),最大角度(°),中位角度(°),角度幅度(°),位置偏移(°),固件主版本,固件次版本,舵机主版本,舵机次版本,波特率,返回延时,应答状态级别,最小角度限制,最大角度限制,最高温度上限(℃),最高电压(0.1V),最低电压(0.1V),最大扭矩,相位,卸载条件,LED报警条件,P系数,D系数,I系数,最小启动力,顺时针死区,逆时针死区,保护电流(mA),角度分辨率,位置偏移,运行模式,保护扭矩,保护时间,过载扭矩,速度闭环P,过流保护时间,速度闭环I
1.xdat,1,120.44,216.97,168.7,96.53,85.89,3,10,9,3,0,0,1,1370,2468,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,977,0,10,10,10,10,200,200
2.xdat,2,137.14,229.89,183.52,92.75,187.16,3,10,9,3,0,0,1,1560,2615,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,2129,0,10,10,10,10,200,200
3.xdat,3,158.24,215.56,186.9,57.32,286.24,3,10,9,3,0,0,1,1800,2452,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,3256,0,20,200,80,10,200,200
4.xdat,4,144.35,202.2,173.27,57.85,117.63,3,10,9,3,0,0,1,1642,2300,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1338,0,20,200,80,10,200,200
5.xdat,5,151.47,215.65,183.56,64.18,281.14,3,10,9,3,0,0,1,1723,2453,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,3198,0,20,10,80,10,200,200
6.xdat,6,140.66,233.41,187.03,92.75,160.09,3,10,9,3,0,0,1,1600,2655,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1821,0,10,10,10,10,200,200
7.xdat,7,131.87,237.36,184.62,105.49,239.82,3,10,9,3,0,0,1,1500,2700,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,2728,0,10,10,10,10,200,200
8.xdat,8,156.48,248.53,202.51,92.04,37.45,3,10,9,3,0,0,1,1780,2827,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,426,0,10,10,10,10,200,200
9.xdat,9,129.23,222.95,176.09,93.71,152.44,3,10,9,3,0,0,1,1470,2536,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1734,0,20,200,80,10,200,200
10.xdat,10,123.08,208.35,165.71,85.27,55.91,3,10,9,3,0,0,1,1400,2370,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,636,0,10,10,10,10,200,200
11.xdat,11,125.1,228.57,176.84,103.47,341.36,3,10,9,3,0,0,1,1423,2600,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,3883,0,20,20,20,10,200,200
12.xdat,12,146.64,205.1,175.87,58.46,123.16,3,10,9,3,0,0,1,1668,2333,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1401,0,10,10,10,10,200,200
13.xdat,13,149.45,221.71,185.58,72.26,85.36,3,10,9,3,0,0,1,1700,2522,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,971,0,10,10,10,10,200,200
14.xdat,14,144.26,189.54,166.9,45.27,122.64,3,10,9,3,0,0,1,1641,2156,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1395,0,10,10,10,10,200,200
15.xdat,15,132.4,224.97,178.68,92.57,151.65,3,10,9,3,0,0,1,1506,2559,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1725,0,10,10,10,10,200,200
16.xdat,16,116.84,210.99,163.91,94.15,91.34,3,10,9,3,0,0,1,1329,2400,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,1039,0,10,10,10,10,200,200
17.xdat,17,114.29,251.25,182.77,136.97,39.65,3,10,9,3,0,0,1,1300,2858,70,80,40,50,12,44,47,32,32,0,16,1,1,500,1,451,0,10,10,10,10,200,200
